App Name,Creator,Genre,Rate,Number of Reviews,Price,Additional Info,Spider Depth Level
Bubble shooter - Free bubble games,TOH Games,Casual,4.6,"3,064",Install,"September 23, 2020,32M,1,000,000+,1.34.1,4.1 and up,Google Commerce Ltd",4
Home Pin - How To Loot? - Pull Pin Puzzle,GAMEE,Casual,4.3,"5,793",Install,"April 18, 2021,Varies with device,10,000,000+,3.0.0,4.4 and up,In-Game Purchases,€0.89 - €9.99 per item,Google Commerce Ltd",4
Super Machino go: world adventure game,TOH Games,Adventure,4.0,207,Install,"March 23, 2021,37M,5,000,000+,1.34.1,4.4 and up,In-Game Purchases,€1.09 - €20.99 per item,Google Commerce Ltd",4
Zombies vs Monsters,Koco Games,Casual,5.0,7,Install,"June 14, 2020,48M,50,000+,1.21,4.4 and up,In-Game Purchases,€2.39 - €59.99 per item,Google Commerce Ltd",5
Farming Paradise - Sky Garden,VNG ZINGPLAY STUDIO,Casual,3.6,"3,363",Install,"January 25, 2021,106M,5,000,000+,2.6.3,4.1 and up,Digital Purchases,€0.99 - €48.99 per item,Google Commerce Ltd",5
2 3 4 Player Mini Games,Better World Games,Simulation,4.4,"1,738",Install,"February 26, 2021,41M,100,000,000+,3.5.2,4.1 and up,Google Commerce Ltd",4
Cubic 2 3 4 Player Games,CubeCube Sports,Arcade,4.4,235,Install,"January 2, 2021,Varies with device,10,000,000+,1.9.9.9,4.1 and up,€0.89 - €10.99 per item,Google Commerce Ltd",4
🐓Chicken Gun🐓,ChaloApps,Action,4.3,516,Install,"February 28, 2021,121M,10,000,000+,2.2.01,4.4 and up,Users Interact, In-Game Purchases,€0.99 - €79.99 per item,Google Commerce Ltd",4
Difference Master: Free Puzzle Mind Game,"GOODWAY GAMES, INC.",Puzzle,,,Install,"April 7, 2021,86M,10,000+,1.5.5,5.1 and up,In-Game Purchases,€1.09 - €54.99 per item,Google Commerce Ltd",4
Hidden Objects - Photo Puzzle,CASUAL AZUR GAMES,Casual,4.1,"2,549",Install,"March 18, 2021,172M,10,000,000+,1.3.30,5.0 and up,In-Game Purchases,€1.69 - €5.49 per item,Google Commerce Ltd",4
Utano☆Princesama: Shining Live,KLab,Music,4.4,391,Install,"March 27, 2021,72M,500,000+,4.3.6,4.4 and up,Digital Purchases,€1.09 - €99.99 per item,Google Commerce Ltd",5
Kick Boxing Games: Boxing Gym Training Master,Fighting Sports,Sports,4.3,90,Install,"April 12, 2021,Varies with device,5,000,000+,1.7.5,4.4 and up,€0.99 - €1.99 per item,Google Commerce Ltd",5
Bubble Shooter,LIANweiwei,Casual,4.4,"4,130",Install,"March 23, 2021,28M,50,000,000+,78.0,4.1 and up,Google Commerce Ltd",5
Hidden Objects - Puzzle Game,Lemel Labs,Casual,4.1,185,Install,"April 14, 2021,66M,1,000,000+,1.0.30,5.0 and up,Google Commerce Ltd",4
"Monster Killer - Assassin, Archer, Hero Shooter",Pride Games,Action,4.2,233,Install,"April 20, 2021,147M,500,000+,0.27,5.0 and up,In-Game Purchases,€0.69 - €119.99 per item,Google Commerce Ltd",4
Home Pipe: Water Puzzle,GAMEE,Puzzle,4.3,65,Install,"April 16, 2021,Varies with device,100,000+,3.2,4.4 and up,In-Game Purchases,€0.99 - €9.99 per item,Google Commerce Ltd",5
Incredible Jack: Jumping & Running (Offline Games),BrainMount,Arcade,4.5,"2,325",Install,"January 7, 2021,60M,10,000,000+,1.13.5,4.4 and up,In-Game Purchases,€0.99 - €25.99 per item,Google Commerce Ltd",5
Free Games : Super Bob's World 2020,OneSoft Global PTE. LTD.,Adventure,3.9,647,Install,"April 20, 2021,Varies with device,10,000,000+,Varies with device,5.0 and up,In-Game Purchases,€1.99 - €10.99 per item,Google Commerce Ltd",5
Bad Women Wrestling Game: Gym Girls Fighting Games,Fighting Sports,Action,4.6,30,Install,"August 11, 2020,55M,1,000,000+,1.4.3,4.4 and up,€1.89 - €2.89 per item,Google Commerce Ltd",5
US Army Fighting Games: Kung Fu Karate Battlefield,Fighting Sports,Action,4.3,41,Install,"April 12, 2021,66M,1,000,000+,1.5.6,4.4 and up,€0.99 - €1.89 per item,Google Commerce Ltd",5
Super Bob's World : Free Run Game,OneSoft Global PTE. LTD.,Adventure,4.1,"4,907",Install,"April 15, 2021,Varies with device,100,000,000+,Varies with device,4.4 and up,€0.99 - €9.99 per item,Google Commerce Ltd",5
Pet Rescue Saga,King,Casual,4.4,"89,419",Install,"April 12, 2021,78M,100,000,000+,1.284.6,4.1 and up,Users Interact, Shares Info, Digital Purchases,€0.89 - €109.99 per item,Google Commerce Ltd",4
Save the Fish - Pull the Pin Game,Timuz Games,Casual,3.7,"1,185",Install,"April 11, 2021,Varies with device,10,000,000+,Varies with device,4.1 and up,In-Game Purchases,€1.09 per item,Google Commerce Ltd",5
Hero Pipe Rescue: Water Puzzle,GAMEE,Puzzle,4.2,603,Install,"March 27, 2021,Varies with device,5,000,000+,4.4,4.4 and up,€0.89 - €9.49 per item,Google Commerce Ltd",5
Super Bino Go: New Free Adventure Jungle Jump Game,OneSoft Global PTE. LTD.,Adventure,3.8,"2,195",Install,"April 19, 2021,17M,50,000,000+,1.3.8,4.1 and up,€0.59 - €9.99 per item,Google Commerce Ltd",5
Jungle Adventures,Rendered Ideas,Adventure,4.5,778,Install,"April 22, 2021,20M,10,000,000+,33.20.4.5,4.1 and up,Digital Purchases,€1.09 - €54.99 per item,Google Commerce Ltd",5
June's Journey - Hidden Objects,Wooga,Adventure,4.4,"56,459",Install,"April 16, 2021,Varies with device,10,000,000+,2.31.2,4.4 and up,Digital Purchases,€0.99 - €99.99 per item,Google Commerce Ltd",5
"Exile Survival – Craft, build, fight with monsters",Pride Games,Action,4.2,236,Install,"April 6, 2021,141M,500,000+,0.32.1.1938,4.4 and up,In-Game Purchases,€1.19 - €59.99 per item,Google Commerce Ltd",5
HappyCats games for cats,Better World Games,Sports,,,Install,"January 8, 2019,21M,50,000+,1.0.5,4.0 and up,Google Commerce Ltd",5
Butchero: Epic RPG with Hero Action Adventure,APPLIFE LIMITED,Action,4.2,387,Install,"March 16, 2021,116M,500,000+,1.74.7,4.4 and up,In-Game Purchases,€0.89 - €89.99 per item,Google Commerce Ltd",5
Differences - Find the difference between 2 images,Easybrain,Puzzle,4.4,"1,098",Install,"April 16, 2021,74M,1,000,000+,1.2.0,5.0 and up,€5.49 per item,Google Commerce Ltd",5
Hidden Journey 2: New Adventure Escape,CASUAL AZUR GAMES,Casual,4.5,199,Install,"April 14, 2021,168M,500,000+,1.1.9,5.0 and up,In-Game Purchases,€0.79 - €84.99 per item,Google Commerce Ltd",5
"Arcade Hunter: Sword, Gun, and Magic",OneSoft Global PTE. LTD.,Arcade,4.4,"2,056",Install,"March 26, 2021,156M,1,000,000+,1.15.0,4.4 and up,Users Interact, In-Game Purchases,€0.99 - €99.99 per item,Google Commerce Ltd",5
Magic Archer: Hero hunt for gold and glory,Kometa.Games,Action,4.0,25,Install,"April 14, 2021,116M,10,000+,0.127,5.0 and up,In-Game Purchases,€0.59 - €79.99 per item,Google Commerce Ltd",5
Find It - Find Out Hidden Object Games,Newque Tech Limited,Puzzle,4.2,43,Install,"March 30, 2021,127M,1,000,000+,1.7.0,5.0 and up,€0.99 - €30.99 per item,Google Commerce Ltd",5
Archer Hunter - Offline Action Adventure Game,Imba,Arcade,4.4,80,Install,"April 19, 2021,139M,100,000+,0.1.7,6.0 and up,€1.09 - €104.99 per item,Google Commerce Ltd",5
